"Hôtellerie: arrivées et nuitées des établissements ouverts selon l'année, le mois, la région touristique et la provenance des hôtes"

"Année";"Mois";"Région touristique";"Suisse Nuitées";"Pays baltes Nuitées";"Allemagne Nuitées";"France Nuitées";"Italie Nuitées";"Autriche Nuitées";"Royaume-Uni Nuitées";"Irlande (Eire) Nuitées";"Pays-Bas Nuitées";"Belgique Nuitées";"Luxembourg Nuitées";"Danemark Nuitées";"Suède Nuitées";"Norvège Nuitées";"Finlande Nuitées";"Espagne Nuitées";"Portugal Nuitées";"Grèce Nuitées";"Turquie Nuitées";"Autres Europe Nuitées";"Liechtenstein Nuitées";"Islande Nuitées";"Pologne Nuitées";"Hongrie Nuitées";"Biélorussie Nuitées";"Bulgarie Nuitées";"Malte Nuitées";"Chypre Nuitées";"Chili Nuitées";"Etats-Unis d'Amérique Nuitées";"Canada Nuitées";"Mexique Nuitées";"Brésil Nuitées";"Argentine Nuitées";"Amérique Centrale, Caraïbes Nuitées";"Autres Amérique du Sud Nuitées";"Autres Amérique centrale, Caraïbes Nuitées";"Egypte Nuitées";"Autres Afrique du Nord Nuitées";"Afrique du Sud Nuitées";"Autres Afrique Nuitées";"Bahreïn Nuitées";"Israël Nuitées";"Inde Nuitées";"Japon Nuitées";"Autres Asie de l'Est Nuitées";"Qatar Nuitées";"Koweït Nuitées";"Australie Nuitées";"Australie, N.Zélande, Océanie Nuitées";"Chine (sans Hongkong) Nuitées";"Pays du Golfe Nuitées";"Hongkong Nuitées";"Indonésie Nuitées";"République de Corée Nuitées";"Malaisie Nuitées";"Philippines Nuitées";"Nouvelle Zélande, Océanie Nuitées";"Singapour Nuitées";"Oman Nuitées";"Chine (Taiwan) Nuitées";"Thaïlande Nuitées";"Autres Asie de l'Ouest Nuitées";"Estonie Nuitées";"Lettonie Nuitées";"Lituanie Nuitées";"Arabie Saoudite Nuitées";"Emirats Arabes Unis Nuitées";"Serbie et Monténégro Nuitées";"Croatie Nuitées";"Roumanie Nuitées";"Russie Nuitées";"Slovaquie Nuitées";"Slovénie Nuitées";"République tchèque Nuitées";"Ukraine Nuitées";"Serbie Nuitées"
"2005";"Janvier";"Suisse";1217404;2632;493726;83550;97797;23516;165216;5774;74348;86996;13204;8691;13940;5617;5546;20773;5772;10378;11331;13678;1734;826;5841;3622;899;1780;...;...;474;84355;9600;...;9232;1924;4945;3155;...;2922;5844;7523;4562;...;8647;5634;14204;5949;...;...;...;17255;7612;12946;1533;1291;8066;1280;609;...;2256;...;2969;3804;3246;...;...;...;...;...;1771;1544;3636;54434;1827;1799;4221;4456;...
"2005";"Février";"Suisse";1399164;2519;470854;164870;85819;24047;229330;5729;122724;99649;25792;13431;24169;9798;7470;20483;6582;5991;6106;13146;1819;919;8399;3747;1128;2097;...;...;562;83848;11517;...;6900;1631;4255;2530;...;2308;6985;4204;6596;...;8065;7029;17231;5240;...;...;...;9023;9078;7387;3849;883;6485;2310;402;...;2610;...;3610;3874;2944;...;...;...;...;...;2273;1716;2624;22698;1625;1583;5540;2549;...
"2005";"Mars";"Suisse";1371627;2880;713102;119484;102644;31087;221592;5560;89567;112317;10844;10247;27453;8489;7106;29846;8524;7255;5495;14952;2398;946;6621;4981;1336;2151;...;...;573;103595;16049;...;6461;1873;5803;3305;...;2239;5315;5564;7388;...;10942;9762;21170;6321;...;...;...;10625;8154;8260;3812;1415;6360;7361;717;...;2826;...;3451;6475;3068;...;...;...;...;...;2349;2353;3712;29862;2064;1798;5910;3299;...
"2005";"Avril";"Suisse";904378;2301;330117;75676;65568;26900;123997;4020;32363;48637;6054;7361;13935;4421;5168;21425;7000;6154;6287;11715;1642;701;6718;3752;927;2745;...;...;731;100865;12570;...;7807;2110;7529;4183;...;2484;5198;5609;7583;...;10309;17376;28886;7867;...;...;...;12464;14475;10580;6739;1800;8711;4941;1048;...;4571;...;4949;15491;4495;...;...;...;...;...;2455;2020;3220;18114;1844;1566;3842;3071;...
"2005";"Mai";"Suisse";938226;2342;391574;68354;50832;25672;119814;4356;44783;20192;5859;7342;10191;4207;4564;22074;5885;5529;5303;13996;2148;697;6271;4593;524;2440;...;...;912;127038;15569;...;7947;2041;6751;3992;...;2255;5366;4468;9160;...;8010;53889;35435;7196;...;...;...;17801;18355;10450;2836;1421;14233;3038;1108;...;4327;...;6676;8141;4246;...;...;...;...;...;2227;1852;3373;17057;1770;1609;5043;2590;...
"2005";"Juin";"Suisse";1182258;2423;468548;88816;68073;30938;204369;5195;75308;52022;6934;10189;13247;5836;5327;29279;7141;8681;5593;18542;1661;1345;6753;5560;495;2906;...;...;1372;195684;18047;...;10193;3162;10700;6240;...;3403;6610;6178;11095;...;10575;47431;93808;11242;...;...;...;23733;17502;14355;4558;2748;13273;4483;1260;...;7147;...;7073;6291;5682;...;...;...;...;...;2277;2079;4989;16474;2280;1775;5718;2960;...
"2005";"Juillet";"Suisse";1640837;2804;548849;136669;97855;34303;221305;6976;114507;122101;8767;15550;15266;9769;6260;39113;7723;9390;5461;20520;2777;1538;7051;6572;1244;3656;...;...;946;207033;19646;...;10787;2512;8938;5691;...;4191;7865;6318;8913;...;21186;31646;144999;11010;...;...;...;22740;19628;51119;5937;2876;23824;2570;964;...;3936;...;8075;5218;5598;...;...;...;...;...;2392;1886;5433;21193;2272;1643;6513;3634;...
"2005";"Août";"Suisse";1563233;3483;678792;164032;175216;40482;229445;6265;110832;117775;14427;10353;9765;4947;4443;62404;7842;11785;4275;26456;2406;1503;6439;6456;800;2402;...;...;790;153402;16253;...;7109;2373;6091;4821;...;3502;9498;4657;6964;...;34279;26294;92105;10123;...;...;...;17827;17882;91895;4844;1341;19156;2093;792;...;2421;...;6389;3016;8959;...;...;...;...;...;2077;1386;6902;22511;2180;1571;7948;3207;...
"2005";"Septembre";"Suisse";1456629;3051;550539;87155;65351;33625;179658;5205;58495;38047;7915;11044;13760;6183;5798;29415;6592;5206;4778;16979;1956;890;6515;5792;532;3314;...;...;948;173676;22431;...;10338;2686;8257;5258;...;2938;8300;5956;10342;...;17276;16561;69324;8944;...;...;...;24131;18063;21357;4379;2109;9506;2575;1067;...;3520;...;7094;4667;4768;...;...;...;...;...;2104;1780;5366;15151;2112;1403;6471;2834;...
"2005";"Octobre";"Suisse";1276816;3900;359334;79651;67961;23523;90358;3783;34107;18525;3465;7072;10942;7108;5261;25856;6595;7026;4700;15193;1824;718;5819;4600;506;2724;...;...;1025;115536;16301;...;11008;2433;7372;4998;...;1858;4725;5574;9612;...;9379;14304;38030;9380;...;...;...;16609;17161;7307;3348;1591;12850;2578;1070;...;3842;...;5069;6952;4543;...;...;...;...;...;2407;1883;4517;16603;1816;1389;4616;2846;...
